userId,movieId,rating,timestamp,last_watched_movie,last_rating
0,0,4.0,2000-07-30 18:45:03,779,5.0
0,2,4.0,2000-07-30 18:20:47,1315,4.0
0,5,4.0,2000-07-30 18:37:04,1471,4.0
0,43,5.0,2000-07-30 19:03:35,509,4.0
0,46,5.0,2000-07-30 18:48:51,2981,4.0
0,62,3.0,2000-07-30 18:40:00,1982,4.0
0,89,5.0,2000-07-30 18:14:28,2794,4.0
0,97,4.0,2000-07-30 18:36:16,2757,5.0
0,124,5.0,2000-07-30 19:07:21,922,5.0
0,130,5.0,2000-07-30 19:08:20,2297,5.0
0,136,5.0,2000-07-30 19:00:50,924,5.0
0,184,5.0,2000-07-30 18:20:08,795,4.0
0,190,3.0,2000-07-30 18:16:25,314,4.0
0,197,5.0,2000-07-30 18:19:39,2574,5.0
0,201,4.0,2000-07-30 18:15:08,2253,4.0
0,224,5.0,2000-07-30 18:28:00,2725,5.0
0,257,3.0,2000-07-30 18:49:27,1214,5.0
0,275,3.0,2000-07-30 18:38:30,2189,4.0
0,291,5.0,2000-07-30 18:19:39,197,5.0
0,307,4.0,2000-07-30 18:42:43,507,4.0
0,314,4.0,2000-07-30 18:16:02,808,4.0
0,320,5.0,2000-07-30 18:43:08,1512,4.0
0,325,4.0,2000-07-30 18:28:30,2153,5.0
0,367,3.0,2000-07-30 18:39:23,1186,5.0
0,384,4.0,2000-07-30 18:14:28,89,5.0
0,398,5.0,2000-07-30 18:31:49,2215,5.0
0,418,4.0,2000-07-30 18:39:06,2566,5.0
0,436,3.0,2000-07-30 18:20:08,184,5.0
0,461,5.0,2000-07-30 19:06:42,2366,5.0
0,476,4.0,2000-07-30 18:19:39,291,5.0
0,484,4.0,2000-07-30 18:44:13,1983,5.0
0,485,5.0,2000-07-30 19:09:13,1106,3.0
0,508,4.0,2000-07-30 18:42:26,1572,5.0
0,509,4.0,2000-07-30 18:37:51,2250,5.0
0,510,4.0,2000-07-30 19:03:13,2280,5.0
0,513,5.0,2000-07-30 18:47:18,2281,5.0
0,520,5.0,2000-07-30 18:48:51,46,5.0
0,546,3.0,2000-07-30 18:42:43,307,4.0
0,551,5.0,2000-07-30 18:47:18,512,5.0
0,559,3.0,2000-07-30 18:29:35,1518,4.0
0,592,4.0,2000-07-30 18:40:00,62,3.0
0,594,3.0,2000-07-30 18:44:13,483,4.0
0,615,3.0,2000-07-30 19:08:06,2572,5.0
0,701,5.0,2000-07-30 18:41:15,1764,4.0
0,705,5.0,2000-07-30 18:25:29,1403,5.0
0,720,5.0,2000-07-30 18:36:16,97,4.0
0,723,4.0,2000-07-30 19:00:14,961,4.0
0,734,5.0,2000-07-30 18:53:39,1784,5.0
0,767,3.0,2000-07-30 18:29:35,558,3.0
0,781,5.0,2000-07-30 18:44:41,1553,5.0
0,782,5.0,2000-07-30 18:47:56,784,5.0
0,783,5.0,2000-07-30 18:46:31,2178,5.0
0,786,5.0,2000-07-30 18:47:35,1595,5.0
0,787,3.0,2000-07-30 18:48:23,1573,5.0
0,788,5.0,2000-07-30 18:44:13,592,3.0
0,789,5.0,2000-07-30 18:46:31,781,5.0
0,797,4.0,2000-07-30 18:19:39,475,4.0
0,801,5.0,2000-07-30 18:40:00,590,4.0
0,810,4.0,2000-07-30 18:15:24,201,4.0
0,815,5.0,2000-07-30 18:28:00,224,5.0
0,819,5.0,2000-07-30 18:22:07,1879,5.0
0,827,5.0,2000-07-30 18:49:11,519,5.0
0,828,4.0,2000-07-30 19:06:58,3662,5.0
0,830,5.0,2000-07-30 18:58:04,1993,3.0
0,835,5.0,2000-07-30 18:28:00,813,5.0
0,855,4.0,2000-07-30 18:41:53,2382,4.0
0,862,5.0,2000-07-30 18:22:07,817,5.0
0,897,5.0,2000-07-30 18:30:27,2565,4.0
0,898,5.0,2000-07-30 18:31:12,2828,5.0
0,899,5.0,2000-07-30 18:30:27,895,5.0
0,906,5.0,2000-07-30 19:02:17,936,5.0
0,908,4.0,2000-07-30 18:54:10,732,5.0
0,910,5.0,2000-07-30 18:08:19,630,4.0
0,913,5.0,2000-07-30 18:49:11,825,5.0
0,914,4.0,2000-07-30 18:30:55,897,5.0
0,919,2.0,2000-07-30 18:56:33,2221,5.0
